Detector, Descriptor, Image id, No keypoints, No keypoints on preceding vehicle, No matched keypoints, Keypoint detection time (ms), Descriptor extraction time (ms), Matching time (ms)
AKAZE,ORB,3,1351,154,127,91.4756,23.3615,0.3394
AKAZE,ORB,4,1360,162,114,91.9851,17.1146,0.3565
AKAZE,ORB,5,1347,163,131,112.314,25.9352,5.3825
AKAZE,ORB,6,1363,173,132,156.31,24.5941,0.5509
AKAZE,ORB,7,1331,175,136,157.207,27.1093,0.7207
AKAZE,ORB,8,1358,175,138,105.114,19.9318,0.3533
AKAZE,ORB,9,1331,175,144,85.0556,17.1391,0.3628
AKAZE,FREAK,0,1351,162,0,75.6105,60.2529,0
AKAZE,FREAK,1,1327,157,123,71.9685,56.2144,0.3309
AKAZE,FREAK,2,1311,159,127,75.9037,54.3357,0.3047
AKAZE,FREAK,3,1351,154,129,69.9462,52.878,0.3102
AKAZE,FREAK,4,1360,162,121,69.6472,52.2404,0.3122
AKAZE,FREAK,5,1347,163,123,70.0101,52.2822,0.3089
AKAZE,FREAK,6,1363,173,132,69.3073,50.7756,0.3291
AKAZE,FREAK,7,1331,175,145,67.4009,51.0279,0.3372
AKAZE,FREAK,8,1358,175,146,67.1823,51.5254,0.3912
AKAZE,FREAK,9,1331,175,135,72.3521,54.7623,0.3523
AKAZE,AKAZE,0,1351,162,0,82.9704,58.8787,0
AKAZE,AKAZE,1,1327,157,135,80.9147,60.2001,0.4235
AKAZE,AKAZE,2,1311,159,138,90.9063,65.4041,0.3516
AKAZE,AKAZE,3,1351,154,132,88.7646,58.0021,0.4123
AKAZE,AKAZE,4,1360,162,126,83.5579,59.4089,0.3336
AKAZE,AKAZE,5,1347,163,128,78.4845,58.6965,0.3365
AKAZE,AKAZE,6,1363,173,146,76.9596,58.9433,0.3431
AKAZE,AKAZE,7,1331,175,147,79.3008,57.1705,0.3915
AKAZE,AKAZE,8,1358,175,149,75.8329,51.605,0.3392
AKAZE,AKAZE,9,1331,175,148,84.0383,56.6574,0.3747
AKAZE,SIFT,0,1351,162,0,82.6909,29.0308,0
AKAZE,SIFT,1,1327,157,132,75.9938,28.3306,0.3972
AKAZE,SIFT,2,1311,159,134,72.7713,29.3024,0.3337
AKAZE,SIFT,3,1351,154,129,74.7262,27.6946,0.3671
AKAZE,SIFT,4,1360,162,136,75.1205,28.071,0.3621
AKAZE,SIFT,5,1347,163,136,76.1959,28.982,0.3274
AKAZE,SIFT,6,1363,173,147,74.35,30.7243,0.4893
AKAZE,SIFT,7,1331,175,147,75.0413,28.9328,0.38
AKAZE,SIFT,8,1358,175,153,73.9564,28.191,0.4395
AKAZE,SIFT,9,1331,175,149,74.6892,32.1407,0.4101
SIFT,BRISK,0,1438,137,0,201.572,1.774,0
SIFT,BRISK,1,1371,131,63,166.362,1.5408,0.2037
SIFT,BRISK,2,1380,121,64,158.934,1.5515,0.2097
SIFT,BRISK,3,1335,135,60,167.951,1.8609,0.241
SIFT,BRISK,4,1305,134,65,182.71,1.7031,0.2125
SIFT,BRISK,5,1369,139,59,165.54,1.6235,0.2107
SIFT,BRISK,6,1396,136,65,159.519,1.5964,0.2127
SIFT,BRISK,7,1382,147,64,158.478,1.7025,0.2428
SIFT,BRISK,8,1463,156,67,150.985,1.7966,0.2296
SIFT,BRISK,9,1422,135,79,155.72,1.5387,0.2185
SIFT,BRIEF,0,1438,137,0,147.969,0.6153,0
SIFT,BRIEF,1,1371,131,86,180.123,0.8147,0.3057
SIFT,BRIEF,2,1380,121,76,221.404,0.9853,0.2524
SIFT,BRIEF,3,1335,135,72,250.159,0.7901,0.2443
SIFT,BRIEF,4,1305,134,83,252.645,0.9909,0.2815
SIFT,BRIEF,5,1369,139,69,214.327,1.1319,0.284
SIFT,BRIEF,6,1396,136,75,191.106,0.8148,0.25
SIFT,BRIEF,7,1382,147,76,206.435,0.9376,0.2594
SIFT,BRIEF,8,1463,156,69,210.105,0.9932,0.3336
SIFT,BRIEF,9,1422,135,87,192.321,0.9114,0.2973
SIFT,FREAK,0,1438,137,0,216.886,53.32,0
SIFT,FREAK,1,1371,131,63,192.418,48.1472,0.2381
SIFT,FREAK,2,1380,121,70,174.071,46.799,0.2076
SIFT,FREAK,3,1335,135,63,181.308,44.2598,0.2492
SIFT,FREAK,4,1305,134,65,179.195,42.3957,0.2137
SIFT,FREAK,5,1369,139,63,165.758,44.3346,0.2218
SIFT,FREAK,6,1396,136,59,169.491,44.2188,0.2144
SIFT,FREAK,7,1382,147,64,162.855,42.4299,0.2257
SIFT,FREAK,8,1463,156,65,165.81,44.3626,0.2302
SIFT,FREAK,9,1422,135,79,163.524,42.8882,0.2459
SIFT,SIFT,0,1438,137,0,161.598,78.2636,0
SIFT,SIFT,1,1371,131,81,91.1532,82.0363,0.2054
SIFT,SIFT,2,1380,121,79,96.1918,86.0749,0.2002
SIFT,SIFT,3,1335,135,83,95.2884,84.6073,0.1921
SIFT,SIFT,4,1305,134,92,105.458,102.145,0.2408
SIFT,SIFT,5,1369,139,90,124.772,87.6018,0.2138
SIFT,SIFT,6,1396,136,82,140.05,89.5812,0.4116
SIFT,SIFT,7,1382,147,82,151.228,123.682,0.2986
SIFT,SIFT,8,1463,156,100,111.09,101.784,0.2687
SIFT,SIFT,9,1422,135,101,181.592,93.7577,0.2744
